neighborhood,blockgroup,bedrooms,pct.of.blockgroup,pct.of.neighborhood
LINCOLN VILLAGE,550790175004,812,1,0.09055425448868072
LINCOLN VILLAGE,550790176001,1202,1,0.13404706144752984
LINCOLN VILLAGE,550790176002,1009,1,0.11252369800379168
LINCOLN VILLAGE,550790186001,763,1,0.08508977361436378
LINCOLN VILLAGE,550790186002,464,1,0.05174528827924613
LINCOLN VILLAGE,550790187001,774,1,0.08631649381063901
LINCOLN VILLAGE,550790187002,644,1,0.07181889149102264
LINCOLN VILLAGE,550791866001,512,0.6772486772486772,0.05709824913571986
LINCOLN VILLAGE,550791866002,726,0.8057713651498335,0.08096353295416528
LINDSAY PARK,550790033004,807,1,0.21298495645288995
LINDSAY PARK,550790033005,393,1,0.10372129849564529
LINDSAY PARK,550790033006,529,1,0.1396146740564793
LINDSAY PARK,550790034002,974,0.8491717523975588,0.2570599102665611
LINDSAY PARK,550790034003,1086,1,0.28661916072842436
LITTLE MENOMONEE PARKWAY,550790003032,876,1,0.9358974358974359
LITTLE MENOMONEE PARKWAY,550790005021,60,0.09836065573770492,0.0641025641025641
LONG VIEW,550790017001,1038,1,0.3333333333333333
LONG VIEW,550790017002,621,1,0.1994219653179191
LONG VIEW,550790017003,387,0.8269230769230769,0.12427745664739884
LONG VIEW,550790030004,1068,1,0.34296724470134876
LOWER EAST SIDE,550790108001,567,1,0.14083457526080476
LOWER EAST SIDE,550790108002,479,1,0.11897665176353701
LOWER EAST SIDE,550790110001,609,1,0.1512667660208644
LOWER EAST SIDE,550790110002,85,0.7327586206896551,0.02111276701440636
LOWER EAST SIDE,550790111001,517,1,0.1284153005464481
LOWER EAST SIDE,550790112001,716,1,0.17784401390958768
LOWER EAST SIDE,550790112002,593,1,0.14729259811227025
LOWER EAST SIDE,550790113001,338,0.896551724137931,0.08395429706905116
LOWER EAST SIDE,550791869001,2,0.0273972602739726,4.967709885742673e-4
LOWER EAST SIDE,550791870002,75,1,0.018628912071535022
LOWER EAST SIDE,550791870003,45,1,0.011177347242921014
LYONS PARK,550790198002,410,0.6487341772151899,0.2706270627062706
LYONS PARK,550790198004,158,0.21525885558583105,0.1042904290429043
LYONS PARK,550790198005,947,0.7223493516399695,0.6250825082508251
MACK ACRES,550790003041,218,0.19240953221535745,1
MAITLAND PARK,550790217001,724,1,0.6954851104707013
MAITLAND PARK,550790217005,317,0.32579650565262075,0.3045148895292987
MAPLE TREE,550790003021,1052,0.6052934407364787,1
MARQUETTE,550790147002,2,0.0196078431372549,1
MARTIN DRIVE,550790123001,426,0.5496774193548387,0.24912280701754386
MARTIN DRIVE,550790124001,1284,0.9093484419263456,0.7508771929824561
MC GOVERN PARK,550790019001,854,1,0.2687224669603524
MC GOVERN PARK,550790019002,914,1,0.28760226557583385
MC GOVERN PARK,550790019003,127,0.187039764359352,0.039962240402769036
MC GOVERN PARK,550790019004,189,1,0.05947136563876652
MC GOVERN PARK,550790020002,286,0.5607843137254902,0.08999370673379484
MC GOVERN PARK,550790020003,808,1,0.2542479546884833
MELODY VIEW,550790001022,758,0.593114241001565,1
MENOMONEE RIVER HILLS,550790003041,42,0.037069726390114736,0.006486486486486486
MENOMONEE RIVER HILLS,550790003042,2613,0.9961875714830347,0.40355212355212355
MENOMONEE RIVER HILLS,550790005021,51,0.08360655737704918,0.007876447876447876
MENOMONEE RIVER HILLS,550790006001,409,1,0.06316602316602317
MENOMONEE RIVER HILLS,550790006002,1076,1,0.16617760617760619
MENOMONEE RIVER HILLS,550790006003,1261,1,0.19474903474903474
MENOMONEE RIVER HILLS,550790014001,262,1,0.04046332046332046
MENOMONEE RIVER HILLS,550790014002,761,0.9895968790637191,0.11752895752895753
MENOMONEE RIVER HILLS EAST,550790003042,10,0.003812428516965307,0.004032258064516129
MENOMONEE RIVER HILLS EAST,550790006004,1799,1,0.7254032258064517
MENOMONEE RIVER HILLS EAST,550790006005,649,0.9774096385542169,0.2616935483870968
MENOMONEE RIVER HILLS EAST,550790012001,1,0.0012919896640826874,4.032258064516129e-4
