neighborhood,block,bedrooms,pct.of.block,pct.of.neighborhood
FLORIST HIGHLANDS,550790005011001,39,1,0.030976965845909452
FLORIST HIGHLANDS,550790005011002,20,1,0.015885623510722795
FLORIST HIGHLANDS,550790005011008,1,1,7.942811755361397e-4
FOREST HOME HILLS,550790174001000,128,1,0.035437430786267994
FOREST HOME HILLS,550790174001001,140,1,0.03875968992248062
FOREST HOME HILLS,550790174001002,178,1,0.04928017718715393
FOREST HOME HILLS,550790174001003,45,1,0.012458471760797342
FOREST HOME HILLS,550790174001004,138,1,0.03820598006644518
FOREST HOME HILLS,550790174001005,274,1,0.07585825027685493
FOREST HOME HILLS,550790174001006,31,1,0.00858250276854928
FOREST HOME HILLS,550790174001007,68,1,0.018826135105204873
FOREST HOME HILLS,550790174002000,129,1,0.03571428571428571
FOREST HOME HILLS,550790174002001,129,1,0.03571428571428571
FOREST HOME HILLS,550790174002002,164,1,0.04540420819490587
FOREST HOME HILLS,550790174002003,182,1,0.050387596899224806
FOREST HOME HILLS,550790174002004,179,1,0.04955703211517165
FOREST HOME HILLS,550790174002005,226,1,0.06256921373200443
FOREST HOME HILLS,550790174002006,57,1,0.015780730897009966
FOREST HOME HILLS,550790174002007,13,1,0.0035991140642303433
FOREST HOME HILLS,550790188001000,125,1,0.03460686600221484
FOREST HOME HILLS,550790188001001,154,1,0.04263565891472868
FOREST HOME HILLS,550790188001002,225,1,0.06229235880398671
FOREST HOME HILLS,550790188001003,107,1,0.0296234772978959
FOREST HOME HILLS,550790188001004,18,1,0.0049833887043189366
FOREST HOME HILLS,550790188002000,60,1,0.016611295681063124
FOREST HOME HILLS,550790188002001,144,1,0.03986710963455149
FOREST HOME HILLS,550790188002002,14,1,0.003875968992248062
FOREST HOME HILLS,550790188002003,131,1,0.03626799557032115
FOREST HOME HILLS,550790188002004,99,1,0.027408637873754152
FOREST HOME HILLS,550790188002005,89,1,0.024640088593576966
FOREST HOME HILLS,550790188002006,116,1,0.03211517165005537
FOREST HOME HILLS,550790188002007,112,1,0.031007751937984496
FOREST HOME HILLS,550790188002008,67,1,0.018549280177187155
FOREST HOME HILLS,550790188002009,44,1,0.012181616832779624
FOREST HOME HILLS,550790201001001,22,1,0.006090808416389812
FOREST HOME HILLS,550790201003000,3,1,8.305647840531562e-4
FOREST HOME HILLS,550790201003001,1,1,2.768549280177187e-4
FRANKLIN HEIGHTS,550790047001000,72,1,0.00935672514619883
FRANKLIN HEIGHTS,550790047001002,60,1,0.007797270955165692
FRANKLIN HEIGHTS,550790047001003,129,1,0.01676413255360624
FRANKLIN HEIGHTS,550790047001004,55,1,0.007147498375568551
FRANKLIN HEIGHTS,550790047001006,10,1,0.001299545159194282
FRANKLIN HEIGHTS,550790047001007,55,1,0.007147498375568551
FRANKLIN HEIGHTS,550790047001008,80,1,0.010396361273554255
FRANKLIN HEIGHTS,550790047001009,141,1,0.018323586744639377
FRANKLIN HEIGHTS,550790047001010,126,1,0.016374269005847954
FRANKLIN HEIGHTS,550790047002000,110,1,0.014294996751137101
FRANKLIN HEIGHTS,550790047002001,85,1,0.011046133853151396
FRANKLIN HEIGHTS,550790047002002,105,1,0.01364522417153996
FRANKLIN HEIGHTS,550790047002003,109,1,0.014165042235217674
FRANKLIN HEIGHTS,550790047002004,97,1,0.012605588044184535
FRANKLIN HEIGHTS,550790047002006,85,1,0.011046133853151396
FRANKLIN HEIGHTS,550790047002007,91,1,0.011825860948667966
FRANKLIN HEIGHTS,550790047003000,96,1,0.012475633528265107
FRANKLIN HEIGHTS,550790047003001,85,1,0.011046133853151396
FRANKLIN HEIGHTS,550790047003002,90,1,0.011695906432748537
FRANKLIN HEIGHTS,550790047003003,109,1,0.014165042235217674
FRANKLIN HEIGHTS,550790047003004,122,1,0.01585445094217024
FRANKLIN HEIGHTS,550790047003005,145,1,0.018843404808317088
FRANKLIN HEIGHTS,550790047003006,106,1,0.013775178687459389
FRANKLIN HEIGHTS,550790047003007,91,1,0.011825860948667966
FRANKLIN HEIGHTS,550790047003008,98,1,0.012735542560103964
FRANKLIN HEIGHTS,550790047003009,127,1,0.01650422352176738
FRANKLIN HEIGHTS,550790047003010,128,1,0.016634178037686808
FRANKLIN HEIGHTS,550790047004000,44,1,0.005717998700454841
FRANKLIN HEIGHTS,550790047004001,42,1,0.005458089668615985
FRANKLIN HEIGHTS,550790047004002,110,1,0.014294996751137101
FRANKLIN HEIGHTS,550790047004003,112,1,0.014554905782975958
FRANKLIN HEIGHTS,550790047004004,100,1,0.01299545159194282
FRANKLIN HEIGHTS,550790047004005,38,1,0.0049382716049382715
FRANKLIN HEIGHTS,550790047004006,1,1,1.299545159194282e-4
FRANKLIN HEIGHTS,550790047004007,41,1,0.005328135152696556
FRANKLIN HEIGHTS,550790047004009,57,1,0.007407407407407408
FRANKLIN HEIGHTS,550790047004010,63,1,0.008187134502923977
FRANKLIN HEIGHTS,550790047004011,65,1,0.008447043534762833
FRANKLIN HEIGHTS,550790047004012,82,1,0.010656270305393113
FRANKLIN HEIGHTS,550790047004013,91,1,0.011825860948667966
FRANKLIN HEIGHTS,550790047004014,57,1,0.007407407407407408
FRANKLIN HEIGHTS,550790047004015,3,1,3.898635477582846e-4
FRANKLIN HEIGHTS,550790047004016,136,1,0.017673814165042236
FRANKLIN HEIGHTS,550790047004017,122,1,0.01585445094217024
FRANKLIN HEIGHTS,550790063001000,98,1,0.012735542560103964
FRANKLIN HEIGHTS,550790063001001,140,1,0.018193632228719947
FRANKLIN HEIGHTS,550790063001002,131,1,0.017024041585445095
FRANKLIN HEIGHTS,550790063001003,9,1,0.0011695906432748538
FRANKLIN HEIGHTS,550790063001004,45,1,0.005847953216374269
FRANKLIN HEIGHTS,550790063001005,5,1,6.49772579597141e-4
FRANKLIN HEIGHTS,550790063001006,11,1,0.0014294996751137103
FRANKLIN HEIGHTS,550790063001007,91,1,0.011825860948667966
FRANKLIN HEIGHTS,550790063001008,115,1,0.014944769330734242
FRANKLIN HEIGHTS,550790063001009,134,1,0.01741390513320338
FRANKLIN HEIGHTS,550790063001010,136,1,0.017673814165042236
FRANKLIN HEIGHTS,550790063001011,102,1,0.013255360623781676
FRANKLIN HEIGHTS,550790063001012,82,1,0.010656270305393113
FRANKLIN HEIGHTS,550790064001000,19,1,0.0024691358024691358
FRANKLIN HEIGHTS,550790064001001,70,1,0.009096816114359974
FRANKLIN HEIGHTS,550790064001002,45,1,0.005847953216374269
FRANKLIN HEIGHTS,550790064001003,120,1,0.015594541910331383
FRANKLIN HEIGHTS,550790064001004,73,1,0.009486679662118259
FRANKLIN HEIGHTS,550790064001005,101,1,0.013125406107862248
FRANKLIN HEIGHTS,550790064001006,47,1,0.006107862248213126
FRANKLIN HEIGHTS,550790064001007,34,1,0.004418453541260559
FRANKLIN HEIGHTS,550790065001000,67,1,0.00870695256660169
FRANKLIN HEIGHTS,550790065001001,65,1,0.008447043534762833
FRANKLIN HEIGHTS,550790065001002,137,1,0.017803768680961663
FRANKLIN HEIGHTS,550790065001003,126,1,0.016374269005847954
FRANKLIN HEIGHTS,550790065001004,100,1,0.01299545159194282
FRANKLIN HEIGHTS,550790065001005,49,1,0.006367771280051982
FRANKLIN HEIGHTS,550790065002000,98,1,0.012735542560103964
FRANKLIN HEIGHTS,550790065002001,73,1,0.009486679662118259
FRANKLIN HEIGHTS,550790065002002,99,1,0.012865497076023392
FRANKLIN HEIGHTS,550790065002003,200,1,0.02599090318388564
FRANKLIN HEIGHTS,550790065002004,62,1,0.008057179987004549
FRANKLIN HEIGHTS,550790065002005,122,1,0.01585445094217024
FRANKLIN HEIGHTS,550790065003000,75,1,0.009746588693957114
FRANKLIN HEIGHTS,550790065003001,43,1,0.0055880441845354125
FRANKLIN HEIGHTS,550790065003003,109,1,0.014165042235217674
FRANKLIN HEIGHTS,550790065003004,59,1,0.007667316439246264
FRANKLIN HEIGHTS,550790065003005,35,1,0.004548408057179987
FRANKLIN HEIGHTS,550790065003006,135,1,0.017543859649122806
FRANKLIN HEIGHTS,550790065003007,146,1,0.018973359324236518
FRANKLIN HEIGHTS,550790065004001,69,1,0.008966861598440545
FRANKLIN HEIGHTS,550790065004002,65,1,0.008447043534762833
FRANKLIN HEIGHTS,550790065004003,146,1,0.018973359324236518
FRANKLIN HEIGHTS,550790065004004,117,1,0.0152046783625731
FRANKLIN HEIGHTS,550790065004005,59,1,0.007667316439246264
FRANKLIN HEIGHTS,550790065004006,60,1,0.007797270955165692
FREEDOM VILLAGE,550790001023000,60,0.9230769230769231,1
GARDEN HOMES,550790041001000,52,0.46846846846846846,0.025691699604743084
GARDEN HOMES,550790041001013,5,1,0.0024703557312252965
GARDEN HOMES,550790041001014,2,1,9.881422924901185e-4
GARDEN HOMES,550790041001015,51,1,0.025197628458498024
GARDEN HOMES,550790041001016,81,1,0.0400197628458498
GARDEN HOMES,550790041001017,1,1,4.940711462450593e-4
GARDEN HOMES,550790042001001,46,1,0.022727272727272728
GARDEN HOMES,550790042001002,64,1,0.03162055335968379
GARDEN HOMES,550790042001003,31,1,0.015316205533596838
GARDEN HOMES,550790042001004,86,1,0.042490118577075096
GARDEN HOMES,550790042001005,67,1,0.033102766798418976
GARDEN HOMES,550790042001006,60,1,0.029644268774703556
GARDEN HOMES,550790042001008,22,1,0.010869565217391304
GARDEN HOMES,550790042001009,17,1,0.008399209486166008
GARDEN HOMES,550790042002000,28,1,0.01383399209486166
GARDEN HOMES,550790042002001,107,1,0.052865612648221344
GARDEN HOMES,550790042002003,105,1,0.051877470355731224
GARDEN HOMES,550790042002004,17,1,0.008399209486166008
GARDEN HOMES,550790042002005,158,1,0.07806324110671936
GARDEN HOMES,550790042002006,18,1,0.008893280632411068
GARDEN HOMES,550790042002007,169,1,0.08349802371541502
GARDEN HOMES,550790042002008,160,1,0.07905138339920949
GARDEN HOMES,550790042003000,42,1,0.020750988142292492
GARDEN HOMES,550790042003001,26,1,0.012845849802371542
GARDEN HOMES,550790042003002,133,1,0.06571146245059288
GARDEN HOMES,550790042003003,72,1,0.03557312252964427
GARDEN HOMES,550790042003004,2,1,9.881422924901185e-4
GARDEN HOMES,550790042003005,3,1,0.0014822134387351778
GARDEN HOMES,550790042003006,72,1,0.03557312252964427
GARDEN HOMES,550790042003007,69,1,0.03409090909090909
GARDEN HOMES,550790042004013,101,1,0.04990118577075099
GARDEN HOMES,550790042004014,76,1,0.037549407114624504
GARDEN HOMES,550790042004015,81,1,0.0400197628458498
GOLDEN GATE,550790003041000,88,1,0.10080183276059565
GOLDEN GATE,550790003041001,27,1,0.030927835051546393
GOLDEN GATE,550790003041002,75,1,0.0859106529209622
GOLDEN GATE,550790003041003,67,1,0.07674684994272624
GOLDEN GATE,550790003041004,32,0.24242424242424243,0.03665521191294387
GOLDEN GATE,550790003041005,38,1,0.043528064146620846
GOLDEN GATE,550790003041007,51,1,0.058419243986254296
GOLDEN GATE,550790003041008,45,1,0.05154639175257732
GOLDEN GATE,550790003041013,59,1,0.06758304696449026
GOLDEN GATE,550790003041014,43,1,0.049255441008018326
GOLDEN GATE,550790003041015,116,1,0.13287514318442153
